row,col,slope,aspect_sin,aspect_cos,rain_r7,elevation,river,twi,curvature,label
4064,2201,0.2254201,-0.9751329,0.22162111,51.32826,0.14350797,0.56735563,0.2822859,0.50257653,1.0
15126,9695,0.023314469,-0.4472136,-0.8944272,22.673485,0.29802582,0.47059909,0.28790396,0.5025591,0.0
2185,5851,0.05203983,-1.0,-1.8369701e-16,19.371916,0.25512528,0.00029001766,0.27695248,0.50259393,0.0
9443,6591,0.21643563,0.9728062,0.23162052,29.289103,0.41419894,0.78337777,0.2824684,0.50258875,0.0
10030,6652,0.010430277,0.0,1.0,21.245552,0.3697798,0.9621365,0.29705733,0.50260204,0.0
6057,3187,0.046566565,0.8944272,-0.4472136,52.439903,0.22437358,0.9361174,0.286202,0.5025818,1.0
8449,5728,0.0,-1.0,-1.8369701e-16,36.981422,0.2509491,1.0,0.6110364,0.50258005,0.0
12001,6794,0.08361496,-0.86824316,0.49613893,41.501675,0.38952163,0.95724964,0.2809844,0.5025481,0.0
12784,10400,0.037566602,-0.5547002,-0.8320503,18.131819,0.26157933,0.0037478846,0.2814208,0.50259745,0.0
7450,7779,0.069694914,0.4472136,0.8944272,16.511621,0.29195142,0.0024439057,0.28311446,0.50257015,0.0
3792,3863,0.092640094,0.8944272,-0.4472136,22.873854,0.24107821,0.61516076,0.2863482,0.5024924,0.0
13301,3974,0.12525932,0.16439898,-0.9863939,84.7653,0.03606682,0.05414003,0.2846656,0.5025893,0.0
231,3950,0.032956913,0.9486833,0.31622776,13.092833,0.23614275,0.000921703,0.28599134,0.5025597,0.0
5008,6431,0.010430277,1.0,6.123234e-17,16.885138,0.20121488,0.0031048453,0.2901347,0.50257593,0.0
15288,10027,0.079033196,-0.91914505,0.3939193,23.121197,0.35952923,0.20834653,0.27643427,0.5024884,0.0
10837,3572,0.08102993,-0.76822126,-0.6401844,85.41422,0.029612755,0.783617,0.2833195,0.50259393,0.0
12761,5140,0.23239161,0.8574929,0.51449573,86.60559,0.16856492,0.6604475,0.2832933,0.5024965,1.0
7290,2566,0.06324172,0.16439898,0.9863939,80.370964,0.22285497,0.8315751,0.28191486,0.5026183,0.0
7568,3778,0.04294373,-0.24253562,0.9701425,62.084682,0.21716021,0.9770283,0.27242857,0.50259566,1.0
4371,5009,0.031268463,1.0,6.123234e-17,18.49855,0.21146545,0.06111769,0.2851493,0.5025992,0.0
16387,9193,0.13812844,-0.7432941,0.66896474,0.0,0.7760061,0.13581647,0.2830022,0.5025214,0.0
14175,8603,0.046566565,-0.8944272,-0.4472136,23.45682,0.2649962,0.9042043,0.28019682,0.5025319,0.0
9749,4247,0.041665252,-1.0,-1.8369701e-16,76.69481,0.2813212,0.5931868,0.27854824,0.50261194,1.0
8233,3642,0.069694914,-0.8944272,0.4472136,73.92889,0.21905847,0.9288516,0.28134236,0.5025731,1.0
5316,4996,0.04294373,0.9701425,-0.24253562,21.422,0.24411541,0.23480266,0.2803334,0.50259566,0.0
12697,6030,0.09817346,-0.9486833,-0.31622776,64.23218,0.38496584,0.7527266,0.2860872,0.5025504,1.0
8964,4841,0.13775817,0.4472136,0.8944272,61.880516,0.2942293,0.8726131,0.28095064,0.5025841,1.0
7060,5059,0.0,-1.0,-1.8369701e-16,31.396788,0.25132877,0.97644866,0.6578094,0.5025864,1.0
7151,185,0.0,-1.0,-1.8369701e-16,0.0,0.0,0.015430003,0.6110364,0.50258005,0.0
9309,8121,0.21878092,-0.27472112,0.96152395,17.368416,0.396735,0.013196996,0.28350806,0.5023619,0.0
11262,6274,0.10389993,0.9950372,-0.09950372,49.051838,0.3644647,0.8693256,0.28321677,0.50251794,1.0
8963,4841,0.14773092,0.5547002,0.8320503,61.879585,0.29157177,0.8740844,0.27972034,0.5026346,1.0
10938,6553,0.037566602,-0.5547002,0.8320503,39.54916,0.36104783,0.822101,0.2789652,0.50267166,0.0
9024,4602,0.14390676,-0.9974587,-0.07124705,63.2324,0.25322703,0.8611176,0.28173786,0.5024878,1.0
16821,7596,0.30794802,0.062378287,-0.9980526,0.0,0.33409265,0.0024684337,0.2823794,0.5025678,0.0
16168,7321,0.07487338,-0.5547002,-0.8320503,0.0,0.30485952,0.01355019,0.28513196,0.50259453,0.0
4965,1306,0.117578685,-0.9647638,-0.2631174,75.47408,0.022019742,0.75390285,0.28244793,0.50263685,1.0
7490,2910,0.24316525,0.9789804,0.20395425,78.52258,0.27714503,0.6381748,0.28174427,0.50260264,0.0
9461,6128,0.3056388,0.9125093,-0.40905592,35.781853,0.7251329,0.69892496,0.2807392,0.5022354,1.0
7061,5057,0.010430277,-1.0,-1.8369701e-16,31.470251,0.25170842,0.9730755,0.26476792,0.5025748,1.0
178,1934,0.07343238,-0.98994946,-0.14142136,24.207848,0.2866363,0.08220907,0.2825753,0.502533,0.0
5729,2514,0.23586786,-0.464007,0.88583153,64.47832,0.2088079,0.7740012,0.28304535,0.50246805,1.0
12507,4961,0.06573812,-0.9486833,-0.31622776,85.32554,0.03796507,0.9699457,0.2821782,0.50262064,1.0
5151,2912,0.05203983,1.2246469e-16,-1.0,48.404694,0.22019742,0.7779612,0.2824064,0.5025858,1.0
3756,6679,0.023314469,-0.4472136,0.8944272,13.69036,0.19703873,0.00028212968,0.2793806,0.50257826,0.0
5045,1339,0.16861087,0.42288548,-0.9061831,76.29097,0.08086561,0.91946965,0.28245497,0.502616,1.0
12065,6240,0.11534551,-0.9838699,-0.17888544,63.41707,0.3944571,0.51888365,0.28159967,0.5026079,1.0
9444,9732,0.09377447,0.9938837,-0.11043153,20.993572,0.3135915,0.00020840335,0.2816845,0.50261486,0.0
11450,8797,0.01474932,-0.70710677,-0.70710677,23.448238,0.32611996,0.04394337,0.29534283,0.50262994,0.0
8252,10530,0.023314469,0.4472136,-0.8944272,13.508037,0.2501898,4.440357e-06,0.28105673,0.50258696,0.0
8819,5099,0.14248706,-0.503871,-0.8637789,53.198414,0.27486712,0.8243869,0.2854273,0.50256956,0.0
5290,1171,0.032956913,0.9486833,-0.31622776,80.87251,0.005694761,0.9969531,0.2784175,0.5025864,1.0
10704,5028,0.029482823,0.70710677,0.70710677,76.39234,0.044419136,0.7297447,0.28138077,0.5025905,1.0
10028,7535,0.22357954,-0.17888544,0.9838699,17.30871,0.35763097,0.1808761,0.28229868,0.5026067,0.0
9380,4494,0.15111154,-0.8804711,-0.4740998,68.14636,0.2509491,0.9368483,0.28344908,0.50257826,1.0
12731,5994,0.13701425,0.2248595,0.9743912,66.74913,0.3914199,0.81479764,0.28325787,0.5025063,1.0
8156,9100,0.020854957,1.0,6.123234e-17,15.132251,0.27372816,0.00017581282,0.28266856,0.50257945,0.0
10474,4781,0.20254236,0.9950372,-0.09950372,78.90312,0.1279423,0.49376354,0.28165272,0.50257015,1.0
5945,2783,0.101857364,-0.40613848,-0.91381156,61.529785,0.20007592,0.8298236,0.2812153,0.50245994,1.0
10585,5134,0.23586786,-0.88583153,-0.464007,74.76821,0.08845862,0.5906745,0.28207776,0.50256956,1.0
1522,6365,0.023314469,-0.4472136,-0.8944272,15.098062,0.24069856,2.7284339e-05,0.28351718,0.5025655,0.0
10439,5408,0.069694914,0.4472136,-0.8944272,67.07272,0.3614275,0.6702702,0.2808553,0.5026334,1.0
9681,5251,0.29099387,-0.9994449,0.03331483,61.166115,0.33333334,0.84774375,0.2830126,0.5025661,1.0
10441,5409,0.010430277,0.0,1.0,67.1365,0.3614275,0.67280644,0.28374562,0.50260496,1.0
