ID,Latitude,Longitude
1,14.6033,74.3713
2,14.8142,74.1354
3,14.7811,74.162
4,14.8038,74.1189
5,14.7475,74.1751
6,14.7731,74.1486
7,14.6853,74.3312
8,14.6095,74.3688
9,14.6412,74.3481
10,14.6315,74.3592
11,14.4842,74.4173
12,14.5422,74.3214
13,14.1951,74.5298
14,14.3015,74.4812
15,13.9856,74.5512
16,14.0941,74.4889
17,14.1235,74.5002
18,14.4416,74.4325
19,14.2215,74.6948
20,14.8812,74.6124
21,14.8451,74.6521
22,14.8392,74.6481
23,14.8964,74.6982
24,14.9315,74.7492
25,14.8561,74.7543
26,14.4215,74.7022
27,14.4262,74.6991
28,14.5815,74.8142
29,14.5122,74.8391
30,14.3316,74.8924
31,14.2384,74.8052
32,14.5451,74.6291
33,14.7924,74.6651
34,14.9122,74.8533
35,14.9541,74.9212
36,14.7412,74.5524
37,14.6541,74.5122
38,14.5912,74.5615
39,15.1121,74.9542
40,14.3621,74.7781
41,12.4312,75.7314
42,12.4011,75.7281
43,12.4745,75.7112
44,12.5124,75.7042
45,12.4891,75.6811
46,12.4491,75.6982
47,12.4612,75.6415
48,12.4912,75.7481
49,12.4984,75.6912
50,12.4641,75.7512
51,12.4595,75.6451
52,12.4521,75.7211
53,12.6726,75.7511
54,12.1645,75.7891
55,12.4812,75.4412
56,12.5014,75.5891
57,12.5184,75.5512
58,12.3924,75.5291
59,12.3854,75.4914
60,12.1891,75.8112
61,12.195,75.804
62,12.1584,75.7612
63,12.2415,75.8791
64,12.4112,75.8394
65,12.3121,75.8891
66,13.3912,75.7214
67,13.4241,75.7511
68,13.5415,75.7584
69,13.0815,75.4412
70,13.2312,75.2481
71,13.4142,75.2612
72,13.5291,75.3594
73,13.1415,75.6124
74,13.2281,75.3612
75,13.1154,75.5211
76,13.5112,75.7194
77,13.5514,75.7621
78,13.2841,75.6291
79,13.3312,75.4741
80,13.6811,75.7912
81,13.5115,75.0914
82,13.5084,75.0891
83,13.7312,75.0211
84,13.7251,75.0142
85,14.2214,74.8115
86,13.9142,75.0594
87,13.6912,75.2415
88,14.0541,75.4212
89,13.7915,74.9891
90,14.1214,75.2142
91,12.8941,75.7612
92,12.8715,75.7194
93,12.6612,75.6142
94,12.5514,75.3912
95,12.5112,75.5412
96,13.0491,75.4112
97,12.8841,75.0415
98,12.9124,75.6981
99,12.7142,75.6791
100,13.1124,75.3412
101,14.8512,74.6641
102,14.9042,74.7121
103,14.411,74.6854
104,14.5821,74.4391
105,14.6114,74.4021
106,14.8214,74.1082
107,14.8415,74.1421
108,14.3124,74.9121
109,15.0214,74.3912
110,15.0421,74.4112
111,15.1214,74.5212
112,14.4521,74.5214
113,14.2541,74.6512
114,14.2612,74.6721
115,14.0214,74.5291
116,12.4812,75.7191
117,12.5214,75.7412
118,12.5021,75.7014
119,12.6912,75.6821
120,12.6541,75.7912
121,12.6612,75.7314
122,12.1124,75.7941
123,12.0914,75.7412
124,12.0741,75.7291
125,12.4621,75.8214
126,13.0612,75.4314
127,13.0724,75.4391
128,13.1214,75.5181
129,13.3541,75.7412
130,13.4112,75.7491
131,13.5124,75.2914
132,13.3912,75.2142
133,13.2415,75.3124
134,13.5021,75.0791
135,13.5104,75.0902
136,13.7391,75.0312
137,13.9412,75.1124
138,13.6214,75.3121
139,12.5214,75.5291
140,12.7541,75.5612
141,12.9541,75.4912
142,13.1312,75.3541
143,12.8912,75.7681
144,12.8681,75.7114
145,12.7912,75.8124
146,13.1912,75.1891
147,13.5124,75.0114
148,13.5214,75.0211
149,13.9412,74.6512
150,13.3124,75.1912
